jarak,ketinggian
0.0,-0.0
-0.48631688403260326,-195.67224281495132
-0.9726337680652065,-1168.6043579188158
-1.4589506520978097,-3497.6694253001083
-1.945267536130413,-7761.740524947346
-2.4315844201630163,-14539.690736849043
-2.9179013041956194,-24410.393140993707
-3.404218188228223,-37952.720817369875
-3.890535072260826,-55745.54684596604
-4.37685195629343,-78367.74430677074
-4.863168840326033,-106398.18627977246
-5.349485724358636,-140415.74584495972
-5.835802608391239,-180999.29608232103
-6.322119492423842,-228727.71007184492
-6.808436376456446,-284179.86089352006
-7.294753260489049,-347934.6216273347
-7.781070144521652,-420570.8653532774
-8.267387028554255,-502667.4651513368
-8.75370391258686,-594803.2941015016
-9.240020796619461,-697557.2252837595
-9.726337680652065,-811508.1317781003
-10.212654564684668,-937234.8866645109
-10.698971448717272,-1075316.3630229817
-11.185288332749876,-1226331.4339334997
-11.671605216782478,-1390858.9724760538
-12.157922100815082,-1569477.8517306333
-12.644238984847684,-1762766.9447772251
-13.130555868880288,-1971305.1246958196
-13.616872752912892,-2195671.2645664043
-14.103189636945494,-2436444.2374689677
-14.589506520978098,-2694202.9164834986
-15.0758234050107,-2969526.174689985
-15.562140289043304,-3262992.885168416
-16.048457173075906,-3575181.920998779
-16.53477405710851,-3906672.1552610644
-17.021090941141114,-4258042.461035261
-17.50740782517372,-4629871.7114013545
-17.99372470920632,-5022738.779439333
-18.480041593238923,-5437222.538229189
-18.966358477271527,-5873901.86085091
-19.45267536130413,-6333355.620384484
-19.938992245336735,-6816162.689909897
-20.425309129369335,-7322901.942507137
-20.91162601340194,-7854152.2512562
-21.397942897434543,-8410492.489237068
-21.884259781467147,-8992501.529529732
-22.37057666549975,-9600758.245214177
-22.85689354953235,-10235841.509370392
-23.343210433564956,-10898330.195078373
-23.82952731759756,-11588803.175418101
-24.315844201630163,-12307839.32346957
-24.802161085662767,-13056017.512312762
-25.288477969695368,-13833916.615027664
-25.774794853727972,-14642115.504694277
-26.261111737760576,-15481193.054392576
-26.74742862179318,-16351728.13720256
-27.233745505825784,-17254299.62620421
-27.720062389858384,-18189486.394477516
-28.206379273890988,-19157867.315102473
-28.692696157923592,-20160021.261159062
-29.179013041956196,-21196527.105727274
-29.6653299259888,-22267963.721887093
-30.1516468100214,-23374909.982718512
-30.637963694054005,-24517944.761301525
-31.12428057808661,-25697646.930716112
-31.610597462119213,-26914595.36404227
-32.09691434615181,-28169368.934359968
-32.58323123018442,-29462546.514749218
-33.06954811421702,-30794706.978289995
-33.555864998249625,-32166429.1980623
-34.04218188228223,-33578292.04714611
-34.52849876631483,-35030874.39862141
-35.01481565034744,-36524755.1255682
-35.50113253438004,-38060513.10106646
-35.98744941841264,-39638727.19819617
-36.47376630244524,-41259976.29003734
-36.960083186477846,-42924839.24966996
-37.44640007051045,-44633894.95017402
-37.932716954543054,-46387722.26462947
-38.41903383857566,-48186900.06611634
-38.90535072260826,-50032007.2277146
-39.391667606640866,-51923622.622504234
-39.87798449067347,-53862325.12356524
-40.36430137470607,-55848693.60397761
-40.85061825873867,-57883306.9368213
-41.336935142771274,-59966743.99517635
-41.82325202680388,-62099583.65212273
-42.30956891083648,-64282404.78074041
-42.795885794869086,-66515786.2541094
-43.28220267890169,-68800306.94530968
-43.768519562934294,-71136545.72742124
